STATION,X_TWD97,Y_TWD97,monthly,time,DIFFDISP,Layer_1,Layer_2,Layer_3,Layer_4,Layer_All
XINJIE,2644119.88134,179743.007588,6,2016-10-01,0.34744343756159096,0.0,2.0,0.0,0.0,2.0
XINPI,2598087.955,181888.900806,6,2016-10-01,-4.073863046337897,0.0,1.0,0.0,1.0,2.0
XINSHENG,2648279.21795,188342.160622,6,2016-10-01,-4.441070508666754,2.0,2.0,-1.0,0.0,3.0
XINXING,2626356.24719,170721.169691,6,2016-10-01,-0.24287164077958312,1.0,2.0,2.0,0.0,5.0
XIUTAN,2617397.2418,183652.118876,6,2016-10-01,-2.2095742661492244,5.0,1.0,-0.0,-1.0,5.0
XIZHOU,2638501.0722,199069.972355,6,2016-10-01,-3.7048971139541127,1.0,1.0,-2.0,0.0,0.0
YIWU,2604974.34087,167842.226707,6,2016-10-01,-5.851388295920013,1.0,2.0,2.0,0.0,5.0
YUANCHANG,2616803.26394,179485.192133,6,2016-10-01,-3.3043691755212574,3.0,4.0,2.0,0.0,9.0
ZHENNAN,2621720.32227,202939.032793,6,2016-10-01,-0.23080072189900752,1.0,1.0,0.0,-0.0,2.0
ZHUTANG,2639635.48177,191944.07482,6,2016-10-01,-1.0268124237219773,0.0,1.0,0.0,-1.0,0.0
ANHE,2602035.47057,179539.204623,7,2016-11-01,-3.8825259028052956,1.0,0.0,5.0,-1.0,5.0
BEICHEN,2608228.94939,178859.958807,7,2016-11-01,-1.4801470883767958,-1.0,1.0,0.0,0.0,0.0
CANLIN,2608157.27696,173088.151033,7,2016-11-01,-5.53133563004925,-4.0,1.0,-1.0,1.0,-3.0
DONGGUANG,2616755.31388,175783.144962,7,2016-11-01,-2.4261414189056243,-4.0,-1.0,-3.0,1.0,-7.0
DONGSHI,2595468.32293,163523.186557,7,2016-11-01,-2.454271891132035,0.0,0.0,2.0,0.0,2.0
ERLUN,2629865.28709,190429.148778,7,2016-11-01,-6.751045922631315,-1.0,0.0,0.0,1.0,0.0
FENGAN,2631894.18276,171859.184496,7,2016-11-01,-3.7021159968406154,-1.0,-4.0,-0.0,-1.0,-6.0
FENGRONG,2632016.259,179785.17549,7,2016-11-01,-4.755445089009456,-2.0,-2.0,0.0,0.0,-4.0
GUANGFU,2626508.29835,189084.098343,7,2016-11-01,-5.817110677781014,-2.0,0.0,-3.0,1.0,-4.0
HAIFENG,2629140.25143,171150.145528,7,2016-11-01,-3.0337776589912044,-1.0,-7.0,1.0,,-7.0
HONGLUN,2620454.90228,183487.975804,7,2016-11-01,-4.662679212813051,-2.0,-3.0,1.0,1.0,-3.0
HUNAN,2649583.28339,197073.456957,7,2016-11-01,-4.17057774341345,-2.0,0.0,-3.0,-1.0,-6.0
HUWEI,2623606.30661,192041.068482,7,2016-11-01,-2.751929353576827,0.0,1.0,-3.0,0.0,-2.0
JIANYANG,2614756.24677,163506.218274,7,2016-11-01,-7.447627568483178,-2.0,-2.0,0.0,,-4.0
JIAXING,2616146.2859,194875.077945,7,2016-11-01,-3.915211567135951,2.0,-2.0,-1.0,0.0,-1.0
KECUO,2613831.28827,182075.186777,7,2016-11-01,-6.598525141466658,0.0,-3.0,-1.0,0.0,-4.0
LONGYAN,2624184.90663,179646.08447,7,2016-11-01,-5.65452915543657,-2.0,-3.0,0.0,0.0,-5.0
NEILIAO,2611723.34283,184142.181573,7,2016-11-01,-2.3978244094894285,-2.0,-6.0,-1.0,1.0,-8.0
QIAOYI,2637964.78657,196150.707581,7,2016-11-01,-1.8771209115012855,-1.0,1.0,0.0,0.0,0.0
TANQIFENXIAO,2599940.93758,176526.188454,7,2016-11-01,-4.8689882198814445,-1.0,2.0,-1.0,1.0,1.0
TUKU,2620611.25819,187772.134694,7,2016-11-01,-1.9478740661468925,0.0,-2.0,-3.0,0.0,-5.0
XIGANG,2639733.1713,177634.127419,7,2016-11-01,-6.270583756351508,-1.0,-2.0,-1.0,1.0,-3.0
XINGHUA,2643201.13881,188364.082858,7,2016-11-01,-5.553231097118154,-1.0,2.0,-3.0,1.0,-1.0
XINJIE,2644119.88134,179743.007588,7,2016-11-01,-1.25823036582511,-0.0,-1.0,2.0,-1.0,0.0
XINPI,2598087.955,181888.900806,7,2016-11-01,-4.585645658435603,2.0,1.0,0.0,0.0,3.0
XINSHENG,2648279.21795,188342.160622,7,2016-11-01,-6.314527183971643,-1.0,-4.0,0.0,0.0,-5.0
XINXING,2626356.24719,170721.169691,7,2016-11-01,-4.470652617189051,-3.0,-9.0,-4.0,0.0,-16.0
XIUTAN,2617397.2418,183652.118876,7,2016-11-01,-3.1867844921179467,-2.0,-7.0,-1.0,0.0,-10.0
XIZHOU,2638501.0722,199069.972355,7,2016-11-01,-2.696230711349277,-1.0,0.0,0.0,0.0,-1.0
YIWU,2604974.34087,167842.226707,7,2016-11-01,-6.101074647430394,-2.0,0.0,-2.0,1.0,-3.0
YUANCHANG,2616803.26394,179485.192133,7,2016-11-01,-0.15285790338287805,-3.0,-6.0,-1.0,-2.0,-12.0
ZHENNAN,2621720.32227,202939.032793,7,2016-11-01,0.7549006187493619,0.0,1.0,0.0,0.0,1.0
